Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI,Total
pkg_terminal_AC-cool,cooling,6,0.0,0.0,0.0,0.0,0.0,0.064135925145432,0.0,0.0,0.0,0.0,0.013737995776742,0.0,0.0,0.0,0.2191403683141598,0.7029857107636661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_AC-cool,cooling,7,0.6588051878153468,0.0,0.0,0.0,0.0,0.1485662028340027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1693682955684534,0.0,0.0,0.0232603137821969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_AC-cool,cooling,8,0.0,0.0,0.0002611206666573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049614101933192,0.0,0.0022407010719008,0.3308996124049316,0.0,0.0,0.0689445724871998,0.2721731258805223,0.3205194572954686,0.0,0.0
pkg_terminal_AC-cool,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010669588547031,0.2824575997817337,0.3420768478646538,0.2940737869578012,0.0,0.0,0.0803248065411081,0.0
rooftop_ASHP-cool,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooftop_ASHP-cool,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1126147426152433,0.2257091700213018,0.6052797994602166,0.0563962879032381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooftop_ASHP-cool,cooling,3,0.0,0.0,0.1044033475655581,0.2346794919158171,0.0966177018200188,0.0,0.0,0.0,0.0,0.0,0.4892873692482818,0.075012089450324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooftop_ASHP-cool,cooling,4,0.0,0.0,0.2107901854168864,0.1967690313751411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4031389880736373,0.187671043678307,0.0,0.0,0.0,0.0,0.0016307514560281,0.0,0.0,0.0
rooftop_ASHP-cool,cooling,5,0.0,0.4908031957823868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028025444459695,0.0307958260654069,0.0,0.119409660261414,0.1956740808673817,0.1331724740184957,0.0021193185452198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooftop_ASHP-cool,cooling,6,0.0,0.0,0.0,0.0,0.0,0.066176216227569,0.0,0.0,0.0,0.0,0.0114038357003204,0.0,0.0,0.0,0.3125765675461374,0.609843380525973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
