Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total
all,water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2049697968149368,0.1782903166758191,0.5358777228628958,0.0808621636463481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,water heating,3,0.0,0.0,0.1693390557939914,0.2042231759656652,0.1560515021459227,0.0,0.0,0.0,0.0,0.0,0.3376137339055793,0.1327725321888412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,water heating,4,0.0,0.0,0.3183683469100263,0.215226312243523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2480553684081582,0.2141850921785998,0.0,0.0,0.0,0.0,0.0041648802596925,0.0,1.0
all,water heating,5,0.0,0.3734636544539389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640992625541378,0.0685122322369191,0.0,0.1080416715439541,0.2335362284911623,0.1489523586562097,0.0033945920636778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,water heating,6,0.0,0.0,0.0,0.0,0.0,0.0615378382758061,0.0,0.0,0.0,0.0,0.022362664073894,0.0,0.0,0.0,0.2807081510290066,0.6353913466212932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,water heating,7,0.6015861027190332,0.0,0.0,0.0,0.0,0.2143666378938282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1732574449719464,0.0,0.0,0.010789814415192,0.0,0.0,0.0,0.0,0.0,1.0
all,water heating,8,0.0,0.0,0.0004492939666238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072528883183568,0.0,0.0018613607188703,0.4949293966623876,0.0,0.0,0.0764441591784338,0.1686777920410783,0.250385109114249,1.0
all,water heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024395286334504,0.2095513748191027,0.2641306594996899,0.5238784370477568,0.0,0.0,1.0
all,cooking,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,cooking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741856303545695,0.1845059939506231,0.4653427716281059,0.0759656040667015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
